what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1460104447538
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1460104447538
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1460104447538
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1460104447539
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1460104447539
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1460104447540
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1460104447540
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1460104447540
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1460104447541
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1460104447541
os,sysinfo,,,"linux",1460104447543
arch,sysinfo,,,"x86_64",1460104447543
ws,sysinfo,,,"gtk",1460104447543
locale,sysinfo,,,"en_US",1460104447543
processors,sysinfo,,,"4",1460104447543
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1460104447544
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1460104447544
java.specification.name,sysinfo,,,"Java Platform API Specification",1460104447544
java.specification.vendor,sysinfo,,,"Oracle Corporation",1460104447544
java.specification.version,sysinfo,,,"1.7",1460104447544
java.vendor,sysinfo,,,"Oracle Corporation",1460104447544
java.version,sysinfo,,,"1.7.0_79",1460104447544
java.vm.info,sysinfo,,,"mixed mode",1460104447544
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1460104447544
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1460104447544
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1460104447544
java.vm.specification.version,sysinfo,,,"1.7",1460104447544
java.vm.vendor,sysinfo,,,"Oracle Corporation",1460104447544
java.vm.version,sysinfo,,,"24.79-b02",1460104447544
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1460104447546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460104448074
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1460104450237
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1460104450255
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460104450660
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1460104465069
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1460104465106
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1460104465144
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1460104554494
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1460104555340
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1460104555373
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1460104555416
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1460104556262
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1460104556568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460104556575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460104559420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460104565262
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1460104565411
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1460104565414
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1460104565529
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1460104565533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460104568294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460104593731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460104596651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460104608368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460104608421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460104609697
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1460104610301
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1460104610360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460104614113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1460104615203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460104615228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460104615874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460104617494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460104617550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460104618516
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460104621975
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460104622103
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1460104622138
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1460104622181
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1460104622567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460104628108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460104631232
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460104631321
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460104631415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460104635825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460104659650
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1460105453347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1460105453843
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1460105454336
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1460105455014
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1460105459538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105465595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105467122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105468666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105478189
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1460105478325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105481070
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1460105489640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105490043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105495651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105501189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105510076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1460105510861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105510892
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460105511258
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1460105512261
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1460105512791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105514077
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460105514966
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1460105515058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105515084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105519861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105528553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105531282
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105538231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105543372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105547362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105554144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105556182
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460105556549
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1460105559331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105564889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460105566710
